Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
272.08,163.9,0,100.65,99.6,181.37,444.66,59.37,66.33,0,1049.51,92.76,-1231.45
273.15,59.76,0,100.69,99.64,181.41,446.18,56.02,66.88,0,1044.43,90.8,-1231.45
274.18,148.75,0,100.77,99.64,181.44,441.99,51.06,66.88,0,1044.23,89.99,-1231.83
275.21,120.46,0,100.96,99.64,181.53,443.51,55.48,67.09,0,1044.03,86.05,-1231.45
276.24,87.65,0,102.18,99.87,178.87,435.51,61.96,67.92,0,1036.9,84.49,-1231.45
277.28,137.73,0,102.1,99.94,178.65,439.7,67.45,67.92,0,1040.56,86.09,-1231.45
278.28,151.69,0,102.14,100.02,178.55,440.08,43.82,67.92,0,1036.5,85.42,-1231.83
279.37,74.42,0,101.95,100.1,178.52,434.36,65.01,68.19,0,1031.42,82.44,-1231.83
280.38,133.55,0,102.03,100.14,178.82,433.98,66.46,68.19,0,1031.01,82.27,-1231.45
281.44,159.64,0,102.1,100.14,178.23,436.27,67,68.4,0,1034.47,82.6,-1231.45
282.57,253.53,0,102.1,100.1,178.2,435.13,68.52,68.4,0,1025.93,78.78,-1231.45
283.63,239.46,0,102.18,99.98,177.83,430.55,72.56,68.4,0,1023.08,80.71,-1231.45
284.63,124.35,0,102.22,100.25,177.74,427.12,67.68,68.95,0,1021.45,80.48,-1231.83
285.7,166.58,0,102.26,100.25,177.44,427.12,65.85,68.95,0,1017.38,79.71,-1231.45
286.71,58.22,6.08,102.33,100.06,186.4,452.66,74.32,77.36,0,1037.12,94.6,-1231.45
287.72,231.99,3.64,102.26,100.14,186.4,454.57,76.76,77.64,0,1039.55,95.02,-1231.45
288.75,128.23,4.25,102.18,100.29,186.29,450.38,76.15,77.64,0,1041.18,96.56,-1231.07
289.81,112.68,7.3,101.99,100.4,186.01,451.9,73.1,77.91,0,1042.4,95.65,-1231.07
290.94,312.05,8.6,101.95,100.48,185.97,454.19,71.8,78.19,0,1041.59,95.18,-1231.07
291.97,116.21,32.39,101.76,100.59,185.56,455.33,48.01,78.19,0,1042.4,93.41,-1231.07
292.97,144.23,9.13,101.72,100.67,185.39,456.09,71.27,78.4,0,1045.04,92.5,-1231.45
293.98,200.33,8.98,101.65,100.67,185.23,454.95,71.42,78.67,0,1043.42,90.64,-1231.07
295.07,260.58,12.56,101.65,100.67,185.05,454.57,67.84,78.67,0,1044.43,90.59,-1231.45
296.23,132.23,37.35,101.57,100.75,185.11,461.81,43.05,78.67,0,1050.12,89.96,-1231.45
297.23,81.95,15,101.57,100.82,184.97,460.67,65.4,78.95,0,1049.11,85.05,-1231.07
298.36,139.87,27.28,101.57,100.82,184.87,457.24,53.12,78.67,0,1048.9,82.39,-1231.07
299.42,255.42,17.6,101.61,100.82,184.86,456.86,62.8,78.67,0,1045.45,82.11,-1231.07
300.58,143.77,31.63,101.68,100.82,184.53,459.53,48.77,78.67,0,1047.28,83.79,-1230.69
301.61,100.5,6.69,101.76,100.82,184.53,457.24,73.71,78.95,0,1044.23,81.88,-1231.07
